,word,url,word_class,definition,tokens,pos,pos_str,definitions_and_pos,length
1077,guard,https://www.dictionary.com/browse/guard,0,"a person or group of persons that guards, protects, or keeps a protective or restraining watch.","['a', 'person', 'or', 'group', 'of', 'persons', 'that', 'guards', ',', 'protects', ',', 'or', 'keeps', 'a', 'protective', 'or', 'restraining', 'watch', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'DET', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'PUNCT']",det noun cconj noun adp noun pron verb punct noun punct cconj verb det adj cconj verb noun punct,"a person or group of persons that guards, protects, or keeps a protective or restraining watch.det noun cconj noun adp noun pron verb punct noun punct cconj verb det adj cconj verb noun punct",19
1078,habit,https://www.dictionary.com/browse/habit,0,an acquired behavior pattern regularly followed until it has become almost involuntary: the habit of looking both ways before crossing the street.,"['an', 'acquired', 'behavior', 'pattern', 'regularly', 'followed', 'until', 'it', 'has', 'become', 'almost', 'involuntary', ':', 'the', 'habit', 'of', 'looking', 'both', 'ways', 'before', 'crossing', 'the', 'street', '.']","['DET', 'VERB', 'NOUN', 'NOUN', 'ADV', 'VERB', 'SCONJ', 'PRON', 'AUX', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT']",det verb noun noun adv verb sconj pron aux verb adv adj punct det noun adp verb det noun adp verb det noun punct,an acquired behavior pattern regularly followed until it has become almost involuntary: the habit of looking both ways before crossing the street.det verb noun noun adv verb sconj pron aux verb adv adj punct det noun adp verb det noun adp verb det noun punct,24
1079,input,https://www.dictionary.com/browse/input,0,something that is put in.,"['something', 'that', 'is', 'put', 'in', '.']","['PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'PUNCT']",pron pron aux verb adp punct,something that is put in.pron pron aux verb adp punct,6
1080,inspector,https://www.dictionary.com/browse/inspector,0,an officer appointed to inspect. ,"['an', 'officer', 'appointed', 'to', 'inspect', '.']","['DET', 'NOUN', 'VERB', 'PART', 'VERB', 'PUNCT']",det noun verb part verb punct,an officer appointed to inspect. det noun verb part verb punct,6
1081,landscape,https://www.dictionary.com/browse/landscape,0,"a section or expanse of rural scenery, usually extensive, that can be seen from a single viewpoint.","['a', 'section', 'or', 'expanse', 'of', 'rural', 'scenery', ',', 'usually', 'extensive', ',', 'that', 'can', 'be', 'seen', 'from', 'a', 'single', 'viewpoint', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",det noun cconj noun adp adj noun punct adv adj punct pron aux aux verb adp det adj noun punct,"a section or expanse of rural scenery, usually extensive, that can be seen from a single viewpoint.det noun cconj noun adp adj noun punct adv adj punct pron aux aux verb adp det adj noun punct",20
1082,layer,https://www.dictionary.com/browse/layer,0,a thickness of some material laid on or spread over a surface: a layer of soot on the windowsill; two layers of paint.,"['a', 'thickness', 'of', 'some', 'material', 'laid', 'on', 'or', 'spread', 'over', 'a', 'surface', ':', 'a', 'layer', 'of', 'soot', 'on', 'the', 'windowsill', ';', 'two', 'layers', 'of', 'paint', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun adp det noun verb adp cconj verb adp det noun punct det noun adp noun adp det noun punct num noun adp noun punct,a thickness of some material laid on or spread over a surface: a layer of soot on the windowsill; two layers of paint.det noun adp det noun verb adp cconj verb adp det noun punct det noun adp noun adp det noun punct num noun adp noun punct,26
1083,plaintiff,https://www.dictionary.com/browse/plaintiff,0,a person who brings suit in a court (opposed to defendant).,"['a', 'person', 'who', 'brings', 'suit', 'in', 'a', 'court', '(', 'opposed', 'to', 'defendant', ')', '.']","['DET', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'PUNCT']",det noun pron verb noun adp det noun punct verb adp noun punct punct,a person who brings suit in a court (opposed to defendant).det noun pron verb noun adp det noun punct verb adp noun punct punct,14
1084,poll,https://www.dictionary.com/browse/poll,0,"a sampling or collection of opinions on a subject, taken from either a selected or a random group of persons, as for the purpose of analysis.","['a', 'sampling', 'or', 'collection', 'of', 'opinions', 'on', 'a', 'subject', ',', 'taken', 'from', 'either', 'a', 'selected', 'or', 'a', 'random', 'group', 'of', 'persons', ',', 'as', 'for', 'the', 'purpose', 'of', 'analysis', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'CCONJ', 'DET', 'VERB', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun cconj noun adp noun adp det noun punct verb adp cconj det verb cconj det adj noun adp noun punct adp adp det noun adp noun punct,"a sampling or collection of opinions on a subject, taken from either a selected or a random group of persons, as for the purpose of analysis.det noun cconj noun adp noun adp det noun punct verb adp cconj det verb cconj det adj noun adp noun punct adp adp det noun adp noun punct",29
1085,purchase,https://www.dictionary.com/browse/purchase,0,"acquisition by the payment of money or its equivalent; buying, or a single act of buying.","['acquisition', 'by', 'the', 'payment', 'of', 'money', 'or', 'its', 'equivalent', ';', 'buying', ',', 'or', 'a', 'single', 'act', 'of', 'buying', '.']","['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",noun adp det noun adp noun cconj pron noun punct noun punct cconj det adj noun adp noun punct,"acquisition by the payment of money or its equivalent; buying, or a single act of buying.noun adp det noun adp noun cconj pron noun punct noun punct cconj det adj noun adp noun punct",19
1086,recession,https://www.dictionary.com/browse/recession,0,the act of receding  or withdrawing.,"['the', 'act', 'of', 'receding', ' ', 'or', 'withdrawing', '.']","['DET', 'NOUN', 'ADP', 'VERB', 'SPACE', 'CCONJ', 'VERB', 'PUNCT']",det noun adp verb space cconj verb punct,the act of receding  or withdrawing.det noun adp verb space cconj verb punct,8
1087,recovery,https://www.dictionary.com/browse/recovery,0,the regaining of or possibility of regaining something lost or taken away.,"['the', 'regaining', 'of', 'or', 'possibility', 'of', 'regaining', 'something', 'lost', 'or', 'taken', 'away', '.']","['DET', 'NOUN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'PRON', 'VERB', 'CCONJ', 'VERB', 'ADV', 'PUNCT']",det noun adp cconj noun adp verb pron verb cconj verb adv punct,the regaining of or possibility of regaining something lost or taken away.det noun adp cconj noun adp verb pron verb cconj verb adv punct,13
1088,reputation,https://www.dictionary.com/browse/reputation,0,"the estimation in which a person or thing is held, especially by the community or the public generally; repute: a man of good reputation.","['the', 'estimation', 'in', 'which', 'a', 'person', 'or', 'thing', 'is', 'held', ',', 'especially', 'by', 'the', 'community', 'or', 'the', 'public', 'generally', ';', 'repute', ':', 'a', 'man', 'of', 'good', 'reputation', '.']","['DET', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'ADV', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADV', 'PUNCT', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",det noun adp pron det noun cconj noun aux verb punct adv adp det noun cconj det noun adv punct noun punct det noun adp adj noun punct,"the estimation in which a person or thing is held, especially by the community or the public generally; repute: a man of good reputation.det noun adp pron det noun cconj noun aux verb punct adv adp det noun cconj det noun adv punct noun punct det noun adp adj noun punct",28
1089,shareholder,https://www.dictionary.com/browse/shareholder,0,"a holder  or owner of shares,  especially in a company or corporation.","['a', 'holder', ' ', 'or', 'owner', 'of', 'shares', ',', ' ', 'especially', 'in', 'a', 'company', 'or', 'corporation', '.']","['DET', 'NOUN', 'SPACE', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'SPACE', 'ADV', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",det noun space cconj noun adp noun punct space adv adp det noun cconj noun punct,"a holder  or owner of shares,  especially in a company or corporation.det noun space cconj noun adp noun punct space adv adp det noun cconj noun punct",16
1090,silver,https://www.dictionary.com/browse/silver,0,"chemistry. a white, ductile metallic element, used for making mirrors, coins, ornaments, table utensils, photographic chemicals, conductors, etc. symbol: ag; atomic weight: 107.870; atomic number: 47; specific gravity: 10.5 at 20°c.","['chemistry', '.', 'a', 'white', ',', 'ductile', 'metallic', 'element', ',', 'used', 'for', 'making', 'mirrors', ',', 'coins', ',', 'ornaments', ',', 'table', 'utensils', ',', 'photographic', 'chemicals', ',', 'conductors', ',', 'etc', '.', 'symbol', ':', 'ag', ';', 'atomic', 'weight', ':', '107.870', ';', 'atomic', 'number', ':', '47', ';', 'specific', 'gravity', ':', '10.5', 'at', '20', '°', 'c', '.']","['NOUN', 'PUNCT', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'ADP', 'NUM', 'NOUN', 'NOUN', 'PUNCT']",noun punct det adj punct adj adj noun punct verb adp verb noun punct noun punct noun punct noun noun punct adj noun punct noun punct x propn propn punct propn punct adj noun punct num punct adj noun punct num punct adj noun punct num adp num noun noun punct,"chemistry. a white, ductile metallic element, used for making mirrors, coins, ornaments, table utensils, photographic chemicals, conductors, etc. symbol: ag; atomic weight: 107.870; atomic number: 47; specific gravity: 10.5 at 20°c.noun punct det adj punct adj adj noun punct verb adp verb noun punct noun punct noun punct noun noun punct adj noun punct noun punct x propn propn punct propn punct adj noun punct num punct adj noun punct num punct adj noun punct num adp num noun noun punct",51
1091,sleep,https://www.dictionary.com/browse/sleep,0,"the state of a person, animal, or plant that sleeps.","['the', 'state', 'of', 'a', 'person', ',', 'animal', ',', 'or', 'plant', 'that', 'sleeps', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PRON', 'VERB', 'PUNCT']",det noun adp det noun punct noun punct cconj noun pron verb punct,"the state of a person, animal, or plant that sleeps.det noun adp det noun punct noun punct cconj noun pron verb punct",13
1092,suit,https://www.dictionary.com/browse/suit,0,"a set of clothing, armor, or the like, intended for wear together.","['a', 'set', 'of', 'clothing', ',', 'armor', ',', 'or', 'the', 'like', ',', 'intended', 'for', 'wear', 'together', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'ADJ', 'PUNCT', 'VERB', 'PART', 'VERB', 'ADV', 'PUNCT']",det noun adp noun punct noun punct cconj det adj punct verb part verb adv punct,"a set of clothing, armor, or the like, intended for wear together.det noun adp noun punct noun punct cconj det adj punct verb part verb adv punct",16
1093,arrival,https://www.dictionary.com/browse/arrival,0,an act of arriving;  a coming: his arrival was delayed by traffic.,"['an', 'act', 'of', 'arriving', ';', ' ', 'a', 'coming', ':', 'his', 'arrival', 'was', 'delayed', 'by', 'traffic', '.']","['DET', 'NOUN', 'ADP', 'VERB', 'PUNCT', 'SPACE', 'DET', 'NOUN', 'PUNCT', 'PRON', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT']",det noun adp verb punct space det noun punct pron noun aux verb adp noun punct,an act of arriving;  a coming: his arrival was delayed by traffic.det noun adp verb punct space det noun punct pron noun aux verb adp noun punct,16
1094,beer,https://www.dictionary.com/browse/beer,0,"an alcoholic beverage made by brewing and fermentation from cereals, usually malted barley, and flavored with hops and the like for a slightly bitter taste.","['an', 'alcoholic', 'beverage', 'made', 'by', 'brewing', 'and', 'fermentation', 'from', 'cereals', ',', 'usually', 'malted', 'barley', ',', 'and', 'flavored', 'with', 'hops', 'and', 'the', 'like', 'for', 'a', 'slightly', 'bitter', 'taste', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'PUNCT']",det adj noun verb adp noun cconj noun adp noun punct adv verb noun punct cconj verb adp noun cconj det noun adp det adv adj noun punct,"an alcoholic beverage made by brewing and fermentation from cereals, usually malted barley, and flavored with hops and the like for a slightly bitter taste.det adj noun verb adp noun cconj noun adp noun punct adv verb noun punct cconj verb adp noun cconj det noun adp det adv adj noun punct",28
1095,bread,https://www.dictionary.com/browse/bread,0,"a kind of food made of flour or meal that has been mixed with milk or water, made into a dough or batter, with or without yeast or other leavening agent, and baked.","['a', 'kind', 'of', 'food', 'made', 'of', 'flour', 'or', 'meal', 'that', 'has', 'been', 'mixed', 'with', 'milk', 'or', 'water', ',', 'made', 'into', 'a', 'dough', 'or', 'batter', ',', 'with', 'or', 'without', 'yeast', 'or', 'other', 'leavening', 'agent', ',', 'and', 'baked', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADP', 'CCONJ', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'PUNCT']",det noun adp noun verb adp noun cconj noun pron aux aux verb adp noun cconj noun punct verb adp det noun cconj noun punct adp cconj adp noun cconj adj noun noun punct cconj adj punct,"a kind of food made of flour or meal that has been mixed with milk or water, made into a dough or batter, with or without yeast or other leavening agent, and baked.det noun adp noun verb adp noun cconj noun pron aux aux verb adp noun cconj noun punct verb adp det noun cconj noun punct adp cconj adp noun cconj adj noun noun punct cconj adj punct",37
1096,cake,https://www.dictionary.com/browse/cake,0,"a sweet, baked, breadlike food, made with or without shortening, and usually containing flour, sugar, baking powder or soda, eggs, and liquid flavoring.","['a', 'sweet', ',', 'baked', ',', 'breadlike', 'food', ',', 'made', 'with', 'or', 'without', 'shortening', ',', 'and', 'usually', 'containing', 'flour', ',', 'sugar', ',', 'baking', 'powder', 'or', 'soda', ',', 'eggs', ',', 'and', 'liquid', 'flavoring', '.']","['DET', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",det adj punct adj punct adp noun punct verb adp cconj adp noun punct cconj adv verb noun punct noun punct verb noun cconj noun punct noun punct cconj adj noun punct,"a sweet, baked, breadlike food, made with or without shortening, and usually containing flour, sugar, baking powder or soda, eggs, and liquid flavoring.det adj punct adj punct adp noun punct verb adp cconj adp noun punct cconj adv verb noun punct noun punct verb noun cconj noun punct noun punct cconj adj noun punct",32
1097,drama,https://www.dictionary.com/browse/drama,0,"a composition in prose or verse presenting in dialogue or pantomime a story involving conflict or contrast of character, especially one intended to be acted on the stage; a play.","['a', 'composition', 'in', 'prose', 'or', 'verse', 'presenting', 'in', 'dialogue', 'or', 'pantomime', 'a', 'story', 'involving', 'conflict', 'or', 'contrast', 'of', 'character', ',', 'especially', 'one', 'intended', 'to', 'be', 'acted', 'on', 'the', 'stage', ';', 'a', 'play', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'DET', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADV', 'NUM', 'VERB', 'PART', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PUNCT']",det noun adp noun cconj noun verb adp noun cconj noun det noun verb noun cconj noun adp noun punct adv num verb part aux verb adp det noun punct det noun punct,"a composition in prose or verse presenting in dialogue or pantomime a story involving conflict or contrast of character, especially one intended to be acted on the stage; a play.det noun adp noun cconj noun verb adp noun cconj noun det noun verb noun cconj noun adp noun punct adv num verb part aux verb adp det noun punct det noun punct",33
1098,efficiency,https://www.dictionary.com/browse/efficiency,0,"the state or quality of being efficient,  or able to accomplish something with the least waste of time and effort; competency in performance.","['the', 'state', 'or', 'quality', 'of', 'being', 'efficient', ',', ' ', 'or', 'able', 'to', 'accomplish', 'something', 'with', 'the', 'least', 'waste', 'of', 'time', 'and', 'effort', ';', 'competency', 'in', 'performance', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'AUX', 'ADJ', 'PUNCT', 'SPACE', 'CCONJ', 'ADJ', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun cconj noun adp aux adj punct space cconj adj part verb pron adp det adj noun adp noun cconj noun punct noun adp noun punct,"the state or quality of being efficient,  or able to accomplish something with the least waste of time and effort; competency in performance.det noun cconj noun adp aux adj punct space cconj adj part verb pron adp det adj noun adp noun cconj noun punct noun adp noun punct",27
1099,electricity,https://www.dictionary.com/browse/electricity,0,the science dealing with electric charges  and currents.,"['the', 'science', 'dealing', 'with', 'electric', 'charges', ' ', 'and', 'currents', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'SPACE', 'CCONJ', 'NOUN', 'PUNCT']",det noun verb adp adj noun space cconj noun punct,the science dealing with electric charges  and currents.det noun verb adp adj noun space cconj noun punct,10
1100,illness,https://www.dictionary.com/browse/illness,0,"poor health; sickness: he grew up in an environment known for poverty, illness, and little opportunity for education.","['poor', 'health', ';', 'sickness', ':', 'he', 'grew', 'up', 'in', 'an', 'environment', 'known', 'for', 'poverty', ',', 'illness', ',', 'and', 'little', 'opportunity', 'for', 'education', '.']","['ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",adj noun punct noun punct pron verb adp adp det noun verb adp noun punct noun punct cconj adj noun adp noun punct,"poor health; sickness: he grew up in an environment known for poverty, illness, and little opportunity for education.adj noun punct noun punct pron verb adp adp det noun verb adp noun punct noun punct cconj adj noun adp noun punct",23
1101,judgment,https://www.dictionary.com/browse/judgment,0,an act or instance of judging.,"['an', 'act', 'or', 'instance', 'of', 'judging', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun cconj noun adp noun punct,an act or instance of judging.det noun cconj noun adp noun punct,7
1102,laboratory,https://www.dictionary.com/browse/laboratory,0,"a building, part of a building, or other place equipped to conduct scientific experiments, tests, investigations, etc., or to manufacture chemicals, medicines, or the like.","['a', 'building', ',', 'part', 'of', 'a', 'building', ',', 'or', 'other', 'place', 'equipped', 'to', 'conduct', 'scientific', 'experiments', ',', 'tests', ',', 'investigations', ',', 'etc', '.', ',', 'or', 'to', 'manufacture', 'chemicals', ',', 'medicines', ',', 'or', 'the', 'like', '.']","['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'PART', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'CCONJ', 'PART', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'ADJ', 'PUNCT']",det noun punct noun adp det noun punct cconj adj noun verb part verb adj noun punct noun punct noun punct x x punct cconj part verb noun punct noun punct cconj det adj punct,"a building, part of a building, or other place equipped to conduct scientific experiments, tests, investigations, etc., or to manufacture chemicals, medicines, or the like.det noun punct noun adp det noun punct cconj adj noun verb part verb adj noun punct noun punct noun punct x x punct cconj part verb noun punct noun punct cconj det adj punct",35
1103,meat,https://www.dictionary.com/browse/meat,0,the flesh of animals as used for food.,"['the', 'flesh', 'of', 'animals', 'as', 'used', 'for', 'food', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'PUNCT']",det noun adp noun sconj verb adp noun punct,the flesh of animals as used for food.det noun adp noun sconj verb adp noun punct,9
1104,muscle,https://www.dictionary.com/browse/muscle,0,"a tissue composed of cells or fibers, the contraction of which produces movement in the body.","['a', 'tissue', 'composed', 'of', 'cells', 'or', 'fibers', ',', 'the', 'contraction', 'of', 'which', 'produces', 'movement', 'in', 'the', 'body', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'PRON', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",det noun verb adp noun cconj noun punct det noun adp pron verb noun adp det noun punct,"a tissue composed of cells or fibers, the contraction of which produces movement in the body.det noun verb adp noun cconj noun punct det noun adp pron verb noun adp det noun punct",18
1105,peak,https://www.dictionary.com/browse/peak,0,the pointed top of a mountain or ridge.,"['the', 'pointed', 'top', 'of', 'a', 'mountain', 'or', 'ridge', '.']","['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",det adj noun adp det noun cconj noun punct,the pointed top of a mountain or ridge.det adj noun adp det noun cconj noun punct,9
1106,penalty,https://www.dictionary.com/browse/penalty,0,a punishment imposed or incurred for a violation of law or rule.,"['a', 'punishment', 'imposed', 'or', 'incurred', 'for', 'a', 'violation', 'of', 'law', 'or', 'rule', '.']","['DET', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",det noun verb cconj verb adp det noun adp noun cconj noun punct,a punishment imposed or incurred for a violation of law or rule.det noun verb cconj verb adp det noun adp noun cconj noun punct,13
1107,perspective,https://www.dictionary.com/browse/perspective,0,"a technique of depicting volumes and spatial relationships on a flat surface.compare aerial perspective, linear perspective. ","['a', 'technique', 'of', 'depicting', 'volumes', 'and', 'spatial', 'relationships', 'on', 'a', 'flat', 'surface.compare', 'aerial', 'perspective', ',', 'linear', 'perspective', '.']","['DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'PROPN', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']",det noun adp verb noun cconj adj noun adp det adj propn adj noun punct propn propn punct,"a technique of depicting volumes and spatial relationships on a flat surface.compare aerial perspective, linear perspective. det noun adp verb noun cconj adj noun adp det adj propn adj noun punct propn propn punct",18
1108,presentation,https://www.dictionary.com/browse/presentation,0,the state of being presented.,"['the', 'state', 'of', 'being', 'presented', '.']","['DET', 'NOUN', 'ADP', 'AUX', 'VERB', 'PUNCT']",det noun adp aux verb punct,the state of being presented.det noun adp aux verb punct,6
1109,resistance,https://www.dictionary.com/browse/resistance,0,"the act or power of resisting, opposing, or withstanding.","['the', 'act', 'or', 'power', 'of', 'resisting', ',', 'opposing', ',', 'or', 'withstanding', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'PUNCT']",det noun cconj noun adp verb punct noun punct cconj verb punct,"the act or power of resisting, opposing, or withstanding.det noun cconj noun adp verb punct noun punct cconj verb punct",12
1110,self,https://www.dictionary.com/browse/self,0,a person or thing referred to with respect to complete individuality: one's own self.,"['a', 'person', 'or', 'thing', 'referred', 'to', 'with', 'respect', 'to', 'complete', 'individuality', ':', 'one', ""'s"", 'own', 'self', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PART', 'VERB', 'NOUN', 'PUNCT', 'PRON', 'PART', 'ADJ', 'NOUN', 'PUNCT']",det noun cconj noun verb adp adp noun part verb noun punct pron part adj noun punct,a person or thing referred to with respect to complete individuality: one's own self.det noun cconj noun verb adp adp noun part verb noun punct pron part adj noun punct,17
1111,soul,https://www.dictionary.com/browse/soul,0,"the principle of life, feeling, thought, and action in humans, regarded as a distinct entity separate from the body, and commonly held to be separable in existence from the body; the spiritual part of humans as distinct from the physical part.","['the', 'principle', 'of', 'life', ',', 'feeling', ',', 'thought', ',', 'and', 'action', 'in', 'humans', ',', 'regarded', 'as', 'a', 'distinct', 'entity', 'separate', 'from', 'the', 'body', ',', 'and', 'commonly', 'held', 'to', 'be', 'separable', 'in', 'existence', 'from', 'the', 'body', ';', 'the', 'spiritual', 'part', 'of', 'humans', 'as', 'distinct', 'from', 'the', 'physical', 'part', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'VERB', 'PUNCT', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'PART', 'AUX', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",det noun adp noun punct verb punct verb punct cconj noun adp noun punct verb adp det adj noun adj adp det noun punct cconj adv verb part aux adj adp noun adp det noun punct det adj noun adp noun adp adj adp det adj noun punct,"the principle of life, feeling, thought, and action in humans, regarded as a distinct entity separate from the body, and commonly held to be separable in existence from the body; the spiritual part of humans as distinct from the physical part.det noun adp noun punct verb punct verb punct cconj noun adp noun punct verb adp det adj noun adj adp det noun punct cconj adv verb part aux adj adp noun adp det noun punct det adj noun adp noun adp adj adp det adj noun punct",48
