Data Series,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan 
    Other Markets In West Asia,1665,1302,1333,1375,1703,2535,1066,731,481,221,82,42,63,30,38,15,28,30,4,16,18,36,9,28,24,8,15,23,10,19,2,0,5,153,757,1782,2897,1876,1952,1882,4463,4619,2934,1189,2459,2196,1757,1791,2698,1555,1929,1802,4102,4099,2434,1405,1967,2726,1723,2904,3058,1788,1676,2237,4064,4562,2071,1414,2602,2262,2069,2733,2900,1629,1570,3006,4956,5880,1412,1871,2270,2610,2250,3060,2931,2053,2056,2834,5345,4554,1855,1930,2473,2054,1756,2479,2672,1666,2752,1718,5573,3017,2400,1779,2155,1951,2260,2015,2647,1731,2658,2072,5258,2362,2507,1600,1949,2120,1660,1635,2210,1652,2171,1684,2847,2767,2430,1297,1464,1775,1818,1229
  Americas,67338,61086,49922,46342,44100,47365,36723,25106,14729,6521,4442,2928,4590,2231,1092,867,1001,777,245,342,684,582,523,669,656,522,506,443,506,443,153,38,13,15567,53615,98790,100218,82972,68654,64342,71328,88663,81305,69238,75440,91115,77043,92393,85208,75548,62266,56056,60752,76827,70116,62094,69578,85412,76079,81781,73679,74042,54388,48313,53414,66833,64461,54290,55814,72468,68575,72376,67650,60401,53083,42901,48661,59258,56233,50578,52570,63521,58800,66988,60391,55155,52973,42354,49942,56521,55325,48014,49143,64764,57924,64780,57955,52340,47969,42437,47977,54556,50633,46359,48811,66875,58987,60370,55788,51911,50079,43109,49860,56981,56119,47760,52338,62006,54112,61382,57292,52501,50635,41010,46622,55947,52552,46711,47323,60074,54048,51653
    Canada,9046,9638,7217,6594,6116,5268,3651,3604,2004,871,545,469,743,229,121,139,72,53,14,27,50,77,76,87,71,62,47,45,39,49,10,0,0,2414,9146,15044,14314,11355,8869,7996,11130,10260,7436,11015,11429,15968,13833,14958,13614,12031,8923,7669,9887,9182,6964,9354,10655,14317,13438,13482,10443,10203,7388,5999,7808,7924,6217,7617,7684,11493,11213,11225,10047,9104,7170,5257,6896,7547,5360,7211,7598,10517,10558,11209,9952,8581,7858,5196,6734,6984,5914,6637,7086,10515,9915,10875,9234,7662,6696,5022,6641,7052,5516,6803,6861,10905,10118,10317,9537,8000,7158,4937,7008,7401,5748,6699,7769,9635,8995,9798,8932,7659,7002,4858,6454,7346,5356,6166,7294,9930,8303,8495
    USA,53685,45666,36734,34503,34497,39120,30990,19764,12001,5448,3775,2264,3720,1890,840,652,828,685,206,254,563,423,387,509,515,414,407,356,400,360,130,34,13,10408,37568,72577,76133,63363,52674,49493,54865,71343,67088,51455,54189,65415,56240,67151,64115,56184,46260,42379,46269,60786,57674,45553,50463,61354,54240,57991,54367,52454,40428,36834,41163,53111,52583,40789,40662,52107,49370,51562,50542,44971,40277,33262,38116,47089,46155,38422,39355,46658,42751,48852,45546,41457,39683,32749,39090,45139,44929,37117,36186,48341,42427,46845,43188,39705,36306,33053,38067,43508,41609,35355,36594,49729,44052,43746,41785,39620,37555,33741,39079,45176,45860,36909,38908,46881,40696,45736,43787,40170,38016,32008,36979,44265,43468,36739,35169,45720,41970,38922
    Other Markets In Americas,4607,5782,5971,5245,3487,2977,2082,1738,724,202,122,195,127,112,131,76,101,39,25,61,71,82,60,73,70,46,52,42,67,34,13,4,0,2745,6901,11169,9771,8254,7111,6853,5333,7060,6781,6768,9822,9732,6970,10284,7479,7333,7083,6008,4596,6859,5478,7187,8460,9741,8401,10308,8869,11385,6572,5480,4443,5798,5661,5884,7468,8868,7992,9589,7061,6326,5636,4382,3649,4622,4718,4945,5617,6346,5491,6927,4893,5117,5432,4409,4118,4398,4482,4260,5871,5908,5582,7060,5533,4973,4967,4362,3269,3996,3508,4201,5356,6241,4817,6307,4466,4291,5366,4431,3773,4404,4511,4152,5661,5490,4421,5848,4573,4672,5617,4144,3189,4336,3728,3806,4860,4424,3775,4236
  Europe,102973,109366,103897,100653,110258,83308,48879,42110,32971,14625,10444,7225,9450,5668,3453,2297,1515,874,286,499,1014,1085,1128,1690,1210,968,1066,1007,1078,850,266,90,47,67261,190088,225192,189183,179959,164050,159864,203813,173060,110587,119900,181375,213342,213198,224478,175053,167566,162926,159993,206031,176230,108999,121103,168796,210751,200960,204876,150754,159370,149618,138100,179183,154203,97934,107646,163089,188890,188107,177009,150103,144990,149426,123106,167971,140279,86155,103933,141925,181967,173348,179868,147577,146342,139262,119898,163413,136833,88472,99889,128157,160349,147155,158529,137315,134238,129264,120902,153482,124542,88947,100622,140349,168535,156630,162551,138066,135130,130033,117020,150069,130507,94881,101794,123042,170603,144455,155741,131438,131485,124645,113107,134641,122181,87205,91559,126201,165101,159924,150022
    Belgium & Luxembourg,1458,1965,1730,2190,2256,2206,885,765,564,214,70,61,68,51,22,33,40,23,6,26,26,14,22,24,14,10,16,12,15,19,3,3,0,819,2444,2704,2536,2820,2576,2677,4092,4483,1860,1967,3530,2800,2489,2632,2481,2727,2670,2586,4142,4902,1845,1874,2938,3029,2591,2482,2218,2454,2425,2500,3249,4055,1741,1758,2955,2678,2431,2336,2166,2491,2565,2282,3147,3310,1586,1848,2411,2760,2503,2289,2329,2271,2336,2155,2905,3225,1599,1765,2369,2594,1968,2063,2321,2546,2029,2233,2946,2987,1654,1792,2664,2821,2482,2220,2325,2390,2219,2051,2838,3049,1735,1850,2025,2712,1973,2185,1922,2188,2046,1970,2692,2884,1669,1661,2637,2610,2392,2153
    Denmark,1769,2014,2340,2070,1608,2634,1098,898,1004,438,340,194,244,190,74,37,33,7,3,17,23,30,23,49,18,27,19,25,24,11,1,0,0,1206,4082,3835,2844,2800,3168,2878,2781,5408,1881,1850,3286,3562,4049,3542,2660,2631,3097,2519,2525,4796,1868,1996,2734,4091,4597,3903,2530,2785,2942,2152,2321,4278,1685,1671,2977,3182,4099,3364,2173,2273,2795,1891,1940,3506,1515,1618,2273,3441,3988,3833,2324,2656,2590,1974,2161,3786,1635,1642,2301,3246,3634,3440,2485,2372,2754,2199,2052,3293,1653,1624,2649,3234,3860,3717,2396,2345,2877,1964,1995,3672,1868,1691,2149,3545,3673,3745,2391,2290,2517,1885,1864,3359,1801,1644,2660,3557,4261,3250
    Finland,1391,1810,1759,1122,628,894,710,588,448,181,129,121,157,19,23,19,16,11,6,16,11,15,17,45,12,17,18,21,45,5,0,0,2,1179,4009,3713,3263,2775,2843,2210,1226,1992,1867,1483,2148,3106,4220,3642,3357,2585,2867,2021,1156,1835,1876,1379,2203,3963,4780,4558,3392,3170,2940,2076,1294,1618,1885,1596,2492,3101,3834,3929,2750,2390,2725,1688,1114,1586,1434,1490,1889,3186,3959,4431,3231,2761,2569,1451,1222,1308,1551,1373,2198,3110,3390,3740,3210,3054,2522,1759,1108,1266,1532,1495,2305,3449,4580,4427,3638,3280,2249,1558,1092,1295,1620,1527,2213,3271,3755,3877,3668,2889,2541,1586,992,1425,1745,1607,2358,4144,5586,4792
    France,8554,10546,10665,10200,16618,10598,5501,5068,3744,1759,1760,1077,1195,799,423,337,327,97,26,83,174,147,204,402,166,122,213,190,240,90,21,2,5,5464,18495,16613,13745,15407,16369,15137,28953,21953,11822,14413,17974,19099,19884,18052,12922,16162,15717,13550,28097,21991,10706,15071,18647,17579,18539,15788,11852,14210,14082,11584,23815,18255,9643,12333,15681,14751,16851,12356,11749,12615,14543,11176,23795,16844,8954,11789,16628,14259,16417,12144,11443,12269,13334,9816,22241,16926,8969,11686,13135,12789,13590,11285,10708,11762,12351,10323,20541,14405,9288,11980,13643,15735,14180,11966,11697,11359,12384,10508,21876,15466,9349,12432,13403,16120,12621,12798,11810,12585,11328,12529,20864,15402,9301,10902,14517,14253,14493,10939
    Germany,20492,18279,18184,17810,16917,12345,8868,7034,5378,2434,1645,1193,1594,1074,997,769,139,151,42,57,114,135,146,194,172,114,121,78,133,74,19,7,2,14758,39857,40228,34026,37191,28485,26979,27209,23843,17574,18753,33428,44963,41522,46784,39214,29465,28808,28000,29525,25215,17397,20136,26640,36973,36701,38733,28863,28423,27617,24858,26590,21206,16274,17427,30420,43618,40022,37068,35176,28441,27153,22567,25895,19327,13776,17868,21371,40603,37455,39133,35172,27994,24718,22303,26784,18815,13660,16266,20086,31468,24937,24529,24156,21514,21905,22156,24544,17014,13270,15425,22125,30806,25422,25176,22142,21213,21759,21012,22265,18262,13453,15763,18494,31307,23053,22837,22338,20254,20744,19658,20355,17784,13106,14377,19375,30111,27868,26463
    Italy,2777,3775,3697,4994,9544,3366,1656,1372,933,450,346,212,319,239,98,69,54,33,8,16,58,73,70,193,60,37,66,39,36,45,8,2,1,1238,7492,10661,11129,6074,5655,6993,21699,7418,4404,4775,6381,7201,10085,10910,8637,5973,5777,7349,22950,7779,4997,5299,6599,7967,8919,9760,5201,6425,5280,6568,19114,6984,4048,4337,5450,5470,5320,6231,5656,5425,5336,5731,16139,6093,4272,4300,5783,4825,4883,6186,4800,5317,5042,5291,15817,5402,3915,3923,4870,5311,4192,5470,5124,5559,4389,5164,13280,5153,3674,3712,4684,5940,4944,5429,4874,5140,4550,5029,13117,5303,4185,4407,4011,5463,4309,6262,4986,5298,4265,5174,11397,5403,3668,3639,4848,6122,5314,5443
    Netherlands,5634,5853,6523,6814,8174,7135,3165,3362,2391,940,713,474,717,432,208,117,54,34,18,36,79,58,98,106,89,76,77,41,41,46,9,0,1,2903,6637,7940,7148,8111,7566,8423,12792,11757,5341,6589,7791,8288,7435,8212,6999,7686,7839,7998,12488,11596,5647,6932,7996,7772,7699,7680,6504,7387,7147,6902,10254,10462,4859,5842,6641,6755,6971,7187,6200,6777,6602,6078,9452,9454,4510,6273,6362,6646,6753,7135,6154,6627,6557,5761,8040,9364,4553,5797,5989,7127,6678,6405,6222,6447,6051,6027,8541,8089,4962,5888,6517,7969,7458,7640,6000,6568,6732,6272,8568,9591,5661,5916,5891,7476,7098,7153,6028,6638,6884,6117,8361,9847,5194,5329,5609,7163,7351,7082
    Norway,1610,1728,1771,1311,1432,2067,1079,745,617,168,69,95,56,49,54,56,39,12,2,15,43,23,31,45,16,15,16,33,25,9,5,3,1,857,3188,3262,2860,2584,2633,1975,2106,5103,2319,1791,3405,2811,3441,2902,2570,2611,2608,2124,2206,4842,2464,1483,2449,3883,3517,3204,2235,2480,2232,1721,1704,3872,2134,1387,3041,2675,2990,2522,2170,2440,2286,1651,1668,3166,1887,1849,2267,4125,2749,2992,2514,2615,2675,2068,1978,3874,2260,1497,2652,3535,3123,2859,2758,2689,2328,2132,2040,3328,2093,1854,3938,3397,3516,3435,2786,3121,2765,2250,2273,3501,2463,1904,3073,4885,3524,3382,2970,3502,2907,2254,1903,3587,2506,1875,3444,4579,4038,3238
    Rep Of Ireland,1359,1567,1530,1592,1482,1483,869,625,381,105,49,44,53,13,44,39,31,21,4,6,10,12,14,16,17,13,10,24,8,18,1,0,2,653,1483,2487,2006,2201,2117,1945,2093,2722,2108,1623,2026,2115,1737,1999,1582,1862,1842,1762,2069,2515,1741,1514,1841,2232,1737,1980,1525,1753,1807,1657,1815,2229,1545,1476,1731,1738,1625,1706,1432,1453,1693,1425,1443,2006,1579,1349,1406,1823,1418,1916,1467,1480,1386,1335,1631,1576,1369,1224,1434,1617,1277,1551,1198,1363,1353,1281,1429,1734,1357,1113,1278,1464,1325,1514,1347,1232,1598,1298,1562,1654,1388,1264,1255,1856,1361,1631,1395,1683,1740,1421,1661,1862,1560,1240,1463,1817,1557,1566
    Russian Federation,3502,2408,1312,756,484,452,308,218,181,78,49,50,42,37,44,28,32,13,5,17,35,53,42,40,61,36,30,24,41,28,35,7,7,3707,9135,15880,9629,8171,5569,4385,4059,4030,3535,5276,6112,8585,8145,12763,7989,7139,5274,4456,5014,4158,3960,5265,7017,9516,8901,15838,7896,7084,5459,4483,4933,4374,3992,5123,6616,8963,8949,12262,7739,7286,6006,4503,5002,4349,3486,4411,4961,6744,6412,9504,5807,5518,4900,3725,4618,4071,3644,4523,4371,5154,4861,12650,8004,7246,6507,5384,6129,5280,4874,5746,6996,9563,9154,15770,9435,8376,6748,4726,5184,4784,4264,5566,6499,7873,6482,12197,7303,6370,4909,4002,4101,3848,3567,3939,5023,6603,6533,12759
    Spain,2604,3939,3987,4841,6867,3331,1603,1291,1137,391,228,238,213,199,95,44,38,24,7,6,35,25,33,58,30,30,22,44,28,29,2,1,0,1306,3892,4872,4942,4946,4798,6479,12701,6997,3746,3374,4865,4274,4065,4212,4053,5173,5138,6652,11978,7079,3811,3770,4483,5684,4399,4664,4041,5615,5534,6101,11064,6321,3305,3244,4391,3866,3625,3529,3592,4088,4166,4377,8652,4973,2541,2973,3156,4382,3159,3432,3064,4464,4046,4330,8377,4875,2717,2953,3094,3715,2893,3546,3348,3757,3488,4153,7295,4047,2515,2657,3394,3444,3022,3095,3050,3338,3257,3636,6584,4024,2278,2317,2508,3469,2530,2516,2415,3264,3646,3565,5802,3663,2263,2131,3051,3107,2398,2473
    Sweden,2510,2091,1913,1429,1075,1394,942,720,635,337,237,214,211,42,53,31,41,24,2,6,29,50,19,37,21,15,24,9,23,12,1,2,0,1486,4539,6982,6391,3908,3677,2307,2454,4199,2612,2402,3920,4849,5707,7721,6588,4308,4051,2306,2708,4279,2677,2143,3620,6403,6765,7574,6052,4425,4054,2226,2443,4027,2421,2079,3662,4664,5726,6232,4830,4142,3422,2076,1908,2991,1963,2063,3165,5278,5075,6852,5423,4078,3753,2102,1946,2911,2091,1985,3138,4284,4556,6295,5363,3498,3331,2034,1841,2716,2160,2417,3676,4821,5289,6910,6052,3593,3491,1952,2049,2710,2240,2199,3243,5395,5440,6892,5809,3875,3035,1905,1872,2430,2043,2008,3447,5175,5967,5682
    Switzerland,4467,5151,5491,4225,4335,4747,2169,2154,1885,718,576,372,515,238,78,68,108,43,12,23,49,53,77,51,63,50,77,43,49,47,12,3,0,2326,7352,8648,8986,8759,8629,6753,7687,9690,5089,6347,9929,8336,8564,9232,8809,8447,9085,7084,8406,10670,5025,6849,9584,9691,9607,9137,8508,9023,9833,7272,8432,10967,5201,6683,11697,8197,9867,9079,8513,8766,10464,7003,8475,10602,4779,6626,9192,8782,9181,9072,8400,9481,9188,6938,8253,10657,5203,6699,9308,8777,8475,9470,8630,8983,9515,7645,8837,10503,5454,6710,10025,8829,8994,9319,8900,8549,9054,7402,7638,10154,5735,6663,7455,7766,7107,7957,6923,7564,7634,5931,6816,8219,4657,5467,7726,7958,7709,7253
    United Kingdom,33051,33269,30244,29963,27611,22493,14906,12737,10811,5498,3797,2362,3668,2117,965,391,367,291,100,92,136,168,146,111,290,267,205,253,239,278,77,17,18,20614,49475,61634,54172,48343,48679,49918,50718,43869,32813,34740,56004,66796,62481,59288,46047,48748,48279,53207,51036,44778,30952,33852,54566,68106,57901,51537,42007,45133,41920,42423,43467,38424,27974,30066,48170,58635,54456,46364,39465,39718,43841,36529,43301,37272,24413,27667,45552,54800,48378,48413,39757,42034,40871,37374,41077,36643,25543,28125,39822,50741,47051,44923,38438,37919,36986,35981,38360,32056,25135,27667,43708,49474,43998,42345,38994,39370,36491,36541,39533,35349,28866,27724,38620,52527,44608,42983,38331,39523,38087,34867,34351,31208,25663,26743,38489,52121,47150,40139
    Other Markets In Europe,11795,14971,12751,11336,11227,8163,5120,4533,2862,914,436,518,398,169,275,259,196,90,45,83,192,229,186,319,181,139,152,171,131,139,72,43,8,8745,28008,35733,25506,25869,21286,20805,23243,19596,13616,14517,20576,26557,29374,32587,21145,22049,19874,18379,21731,19795,14033,13540,17479,23862,24307,28038,17930,19003,16346,15577,18688,17131,11227,12624,17165,20597,21341,22844,16492,16685,15829,14129,16040,14800,9460,11809,15509,20313,21018,22536,15692,16777,15297,13275,16363,13400,9763,10431,13390,16881,16530,20303,15350,15529,13755,12431,14539,12671,9326,10542,12747,17589,18406,19588,14430,15256,13859,10821,13495,11693,9776,10571,12203,16938,16921,19326,13149,13562,12362,10243,11610,11260,8462,8997,11554,15781,17307,16790
  Oceania,101150,78869,85122,94039,65622,77575,55574,35326,29323,8126,4673,3882,5632,1668,332,366,370,366,251,294,292,318,271,642,1000,481,290,222,181,160,66,18,14,21275,62292,148055,134070,100883,112052,127327,99796,127346,104003,94996,124189,83730,74454,137660,119602,85319,109285,123418,97395,126691,105642,90743,112641,96834,70873,128660,118557,93191,104578,114853,88232,122061,98259,83916,108478,95041,79801,128719,113380,83536,97974,105400,92290,119907,90417,75598,105445,86381,68362,129377,113008,87045,109160,110596,96656,113554,95694,85227,94029,79761,72276,129274,109269,81969,97886,109434,94518,121954,93721,90197,110478,82577,76921,138986,118586,88211,108090,117498,91154,128840,103351,95910,104538,95912,76189,132869,115234,93865,112576,113926,91197,120719,106256,84044,92969,79598,71466,107329
    Australia,89128,69046,73728,83070,56917,68378,50412,31406,27380,7883,4546,3759,5525,1624,263,278,301,289,193,250,242,274,234,579,887,438,223,155,166,131,63,16,7,18736,54791,130626,117796,89052,97092,109506,84023,107383,87793,80476,107503,73841,66199,122672,104928,74827,95096,107933,83185,108107,90665,78210,99046,87152,63229,114846,105085,81822,90940,100987,75171,104873,84840,71970,93927,85040,71416,115930,100849,73308,85395,92210,78888,103689,77805,64175,93320,78701,61900,117073,101624,76369,96340,97071,83063,97583,82755,73965,83497,70708,65009,115584,97855,73262,87565,97642,82448,106641,81558,78280,99811,74578,69119,126119,106584,78324,96454,105179,79221,112743,91231,84444,94285,87652,69470,119592,103207,83972,100138,100891,79292,105570,92951,72641,81927,70960,63878,94946
    New Zealand,9138,7289,8742,8796,7107,7264,3909,3061,1448,161,79,87,63,25,58,75,50,73,58,32,39,28,31,63,106,38,63,63,12,27,3,1,1,2127,6185,15141,13501,9615,13233,15783,13913,17922,14219,12791,14142,8108,6831,12969,11860,8603,12404,13767,12669,16705,13120,10907,11412,8005,6311,11914,10801,9349,11834,12021,11197,15358,11805,10261,12447,8459,6928,10778,9994,8529,10961,11514,11873,14548,10862,9715,10042,6616,5463,10983,9726,9070,11462,12412,12497,14756,11593,10077,9492,7854,6349,12330,10015,7435,9146,10593,10939,14075,10922,10812,9520,6872,6893,11466,10383,8430,10359,11081,10765,14813,10626,10225,9035,7087,5735,11908,10323,8550,11158,11669,10901,13772,12021,10137,9881,7469,6613,11207
    Other Markets In Oceania,2884,2534,2652,2173,1598,1933,1253,859,495,82,48,36,44,19,11,13,19,4,0,12,11,16,6,0,7,5,4,4,3,2,0,1,6,412,1316,2288,2773,2216,1727,2038,1860,2041,1991,1729,2544,1781,1424,2019,2814,1889,1785,1718,1541,1879,1857,1626,2183,1677,1333,1900,2671,2020,1804,1845,1864,1830,1614,1685,2104,1542,1457,2011,2537,1699,1618,1676,1529,1670,1750,1708,2083,1064,999,1321,1658,1606,1358,1113,1096,1215,1346,1185,1040,1199,918,1360,1399,1272,1175,1199,1131,1238,1241,1105,1147,1127,909,1401,1619,1457,1277,1238,1168,1284,1494,1241,1218,1173,984,1369,1704,1343,1280,1366,1004,1377,1284,1266,1161,1169,975,1176
  Africa,6334,4266,3738,3713,2903,2582,2184,1300,814,129,58,114,74,79,71,43,54,31,8,44,35,36,35,42,61,39,49,41,55,19,9,1,3,1381,3435,9271,16335,7472,6697,7961,8289,7548,6787,4961,7247,6106,4480,7083,13072,6088,6129,6146,7834,8256,5287,4851,7346,6648,4715,7433,11583,6705,5627,5451,6979,6948,4427,4787,7195,5566,4403,7040,10784,6478,6015,5308,6478,6165,3932,4941,6308,6045,3591,6364,9136,5417,5857,5206,6102,5383,4051,4663,6410,5138,3562,6377,9594,5507,4191,4846,6468,5435,4382,4305,6291,4948,4238,5729,9575,4932,4917,5852,5357,5242,5298,4506,5056,5755,3659,6338,8884,5397,4910,5498,5106,5809,5083,4451,6211,5855,4508,6107
    Egypt,220,283,259,255,197,164,132,62,34,19,7,12,14,19,10,7,12,0,1,5,6,8,6,6,13,6,6,10,12,4,0,0,0,69,302,584,637,474,402,414,440,705,493,198,415,314,341,349,435,289,393,372,368,423,240,271,427,466,265,419,382,388,403,339,373,368,191,260,342,390,312,281,338,350,370,448,462,340,197,424,410,283,416,387,298,325,532,444,574,296,226,355,348,419,268,453,457,397,406,399,448,214,307,322,333,328,351,399,323,293,418,316,371,224,410,249,324,289,288,277,277,341,324,340,258,315,304,267,345,271,319,269
    Mauritius,643,663,226,210,198,196,110,95,53,5,6,7,9,2,3,1,5,0,0,4,3,3,1,4,2,5,4,0,0,0,0,1,0,62,228,1185,2920,1410,773,625,943,1180,802,590,1192,846,842,973,2835,1894,915,746,956,1240,659,721,1337,749,1006,1041,2174,2328,765,639,998,1205,539,619,1221,864,908,1142,2394,2478,1013,688,882,823,579,621,1196,892,425,841,1549,1087,474,411,694,601,600,513,858,567,557,828,1420,1024,475,475,655,708,525,390,748,478,481,646,1332,1150,559,428,624,693,582,500,738,572,459,909,1271,1158,512,571,932,615,681,534,1220,813,729,821
    South Africa (Rep Of),3371,1591,1565,1949,1233,1281,938,599,384,49,23,39,12,23,33,16,5,17,6,9,12,8,8,10,15,13,14,10,21,10,7,0,0,854,1723,4659,8596,3042,3087,4257,2815,2900,3428,2560,3422,3219,1845,3566,6378,2154,2712,3084,3052,3606,2772,2237,3373,3210,1899,3934,6040,2200,2416,2638,2226,2900,1936,2311,3789,2759,1687,3724,5305,2092,2809,2430,2282,2806,1832,2202,3055,2966,1696,3359,4866,2347,2981,2642,2183,2752,2048,2351,2885,2541,1619,3255,4842,2310,1853,2354,2037,2448,1800,1912,3364,2280,1729,2829,5395,1873,2113,2934,1730,2528,2645,2301,2494,3184,1606,3191,4940,2230,2230,2639,1841,2674,2591,2251,3018,2992,2172,3185
    Other Markets In Africa,2100,1729,1688,1299,1275,941,1004,544,343,56,22,56,39,35,25,19,32,14,1,26,14,17,20,22,31,15,25,21,22,5,2,0,3,396,1182,2843,4182,2546,2435,2665,4091,2763,2064,1613,2218,1727,1452,2195,3424,1751,2109,1944,3458,2987,1616,1622,2209,2223,1545,2039,2987,1789,2043,1835,3382,2475,1761,1597,1843,1553,1496,1893,2747,1558,1823,1742,2852,2196,1324,1694,1647,1904,1054,1777,2423,1658,1870,1709,2651,1734,1177,1444,2319,1611,1118,1841,2875,1776,1457,1618,3328,2065,1750,1681,1846,1862,1677,1855,2525,1616,1827,2174,2632,1797,1661,1456,1500,1710,1306,1961,2396,1668,1844,1948,2075,2205,1507,1399,1628,1779,1288,1832
  Others,95,105,114,97,85,65,60,23,27,18,6,9,11,5,7,1,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,1,0,1,3,4,3,4,0,1,2,1,2,0,0,0,0,0,110,1,0,0,0,0,1,0,1,2,0,1,0,5,3,3,1,1,0,3,1,0,4,3,1,4,205,1,0,0,7,9,6,14,22,21,7,18,20,18,29,42,86,96,59,587,326,145,684,395,428,239,47,14,5821,3,1,0,97,40
